Name                                      CurrentValue    Limit
----------------------------------------  --------------  -------
Total Regional Low-priority vCPUs         0               3
Total Regional vCPUs                      0               4
Virtual Machines                          0               25000
Availability Sets                         0               2500
Virtual Machine Scale Sets                0               2500
Dedicated vCPUs                           0               0
Cloud Services                            0               2500
Basic A Family vCPUs                      0               4
Standard A0-A7 Family vCPUs               0               4
Standard A8-A11 Family vCPUs              0               4
Standard Av2 Family vCPUs                 0               4
Standard BS Family vCPUs                  0               4
Standard Basv2 Family vCPUs               0               4
Standard Bsv2 Family vCPUs                0               4
Standard Bpsv2 Family vCPUs               0               4
Standard D Family vCPUs                   0               4
Standard Dv2 Family vCPUs                 0               4
Standard Dv2 Promo Family vCPUs           0               4
Standard Dadsv7 Family vCPUs              0               4
Standard Daldsv7 Family vCPUs             0               4
Standard Dalsv7 Family vCPUs              0               4
Standard Dasv7 Family vCPUs               0               4
Standard Ddsv6 Family vCPUs               0               4
Standard Ddsv7 Family vCPUs               0               4
Standard Dldsv6 Family vCPUs              0               4
Standard Dldsv7 Family vCPUs              0               4
Standard Dlsv6 Family vCPUs               0               4
Standard Dlsv7 Family vCPUs               0               4
Standard Dndv6 Family vCPUs               0               4
Standard Dnldv6 Family vCPUs              0               4
Standard Dnlv6 Family vCPUs               0               4
Standard Dnv6 Family vCPUs                0               4
Standard Dsv6 Family vCPUs                0               4
Standard Dsv7 Family vCPUs                0               4
Standard DADSv5 Family vCPUs              0               4
standard Dadv6 Family vCPUs               0               4
standard Daldv6 Family vCPUs              0               4
standard Dalv6 Family vCPUs               0               4
Standard DASv4 Family vCPUs               0               4
Standard DASv5 Family vCPUs               0               4
standard Dav6 Family vCPUs                0               4
Standard DAv4 Family vCPUs                0               4
Standard DDSv4 Family vCPUs               0               4
Standard DDSv5 Family vCPUs               0               4
Standard DDv4 Family vCPUs                0               4
Standard DDv5 Family vCPUs                0               4
Standard DLDSv5 Family vCPUs              0               4
Standard DLSv5 Family vCPUs               0               4
Standard DPDSv5 Family vCPUs              0               4
Standard Dpdsv6 Family vCPUs              0               4
Standard DPLDSv5 Family vCPUs             0               4
Standard Dpldsv6 Family vCPUs             0               4
Standard DPLSv5 Family vCPUs              0               4
Standard Dplsv6 Family vCPUs              0               4
Standard DPSv5 Family vCPUs               0               4
Standard Dpsv6 Family vCPUs               0               4
Standard DSv3 Family vCPUs                0               4
Standard DSv4 Family vCPUs                0               4
Standard DSv5 Family vCPUs                0               4
Standard Dv3 Family vCPUs                 0               4
Standard Dv4 Family vCPUs                 0               4
Standard Dv5 Family vCPUs                 0               4
